latitude,longitude,confidence,,,
17.518,-99.935,92,,,
17.516,-99.946,100,,,
17.528,-99.936,61,,,
17.526,-99.947,71,,,
17.8,-98.361,37,,,
17.799,-98.371,82,,,
17.797,-98.38,69,,,
17.604,-99.64,74,,,
17.607,-99.687,85,,,
17.836,-98.367,77,,,
17.845,-98.365,87,,,
17.843,-98.374,85,,,
17.861,-98.377,74,,,
17.871,-98.379,81,,,
17.884,-98.411,99,,,
17.883,-98.421,97,,,
18.286,-95.726,62,,,
18.272,-95.824,78,,,
17.776,-99.476,65,,,
19.159,-88.439,45,,,
19.134,-89.307,54,,,
17.811,-99.562,75,,,
19.149,-89.308,87,,,
19.146,-89.335,88,,,
17.937,-98.799,96,,,
17.936,-98.809,100,,,
18.335,-96.108,80,,,
18.334,-96.118,95,,,
19.136,-89.312,80,,,
19.134,-89.338,50,,,
19.151,-89.313,83,,,
19.148,-89.34,77,,,
19.213,-89.684,47,,,
19.254,-89.431,43,,,
17.823,-100.332,52,,,
18.065,-98.862,43,,,
19.261,-89.413,79,,,
19.259,-89.439,38,,,
17.868,-100.306,78,,,
17.866,-100.317,71,,,
17.864,-100.33,52,,,
19.331,-89.318,44,,,
17.712,-101.615,73,,,
17.71,-101.629,62,,,
18.211,-98.691,70,,,
19.366,-89.688,51,,,
18.537,-96.508,91,,,
19.38,-89.69,67,,,
18.677,-95.616,58,,,
19.372,-89.697,76,,,
18.254,-98.836,77,,,
18.064,-100.107,69,,,
18.074,-100.298,35,,,
19.397,-90.63,43,,,
19.395,-90.651,100,,,
18.445,-98.05,38,,,
18.444,-98.059,77,,,
18.442,-98.069,94,,,
19.394,-90.635,88,,,
19.405,-90.657,85,,,
19.403,-90.679,40,,,
18.805,-96.167,77,,,
18.477,-98.644,91,,,
18.793,-96.586,67,,,
19.727,-88.812,78,,,
19.724,-88.842,75,,,
19.393,-92.048,41,,,
18.34,-99.843,51,,,
18.517,-98.751,85,,,
19.725,-88.817,75,,,
18.875,-96.322,72,,,
18.771,-97.071,84,,,
18.77,-97.08,34,,,
19.74,-88.818,67,,,
19.938,-88.817,83,,,
18.328,-101.085,72,,,
18.326,-101.098,53,,,
19.953,-88.819,80,,,
19.024,-96.518,75,,,
18.897,-97.413,67,,,
19.562,-92.238,46,,,
19.935,-88.822,82,,,
19.95,-88.823,86,,,
18.445,-100.802,50,,,
18.681,-99.366,87,,,
18.864,-98.211,86,,,
18.862,-98.221,83,,,
18.871,-98.222,85,,,
18.87,-98.232,59,,,
20.032,-88.594,54,,,
19.961,-90.215,38,,,
20.184,-88.151,84,,,
19.954,-90.219,43,,,
20.176,-88.155,78,,,
19.04,-97.894,88,,,
19.038,-97.904,71,,,
18.954,-98.474,83,,,
20.066,-89.791,72,,,
20.064,-89.816,70,,,
20.036,-90.086,82,,,
20.034,-90.109,90,,,
19.027,-98.482,67,,,
18.965,-98.892,79,,,
20.234,-88.532,59,,,
18.949,-99.178,29,,,
19.366,-96.438,84,,,
19.364,-96.448,67,,,
20.275,-88.756,68,,,
19.071,-98.558,54,,,
19.07,-98.567,45,,,
18.653,-101.357,56,,,
18.651,-101.369,68,,,
19.259,-97.457,100,,,
19.258,-97.467,100,,,
20.271,-88.76,72,,,
19.374,-96.71,14,,,
19.049,-99.062,80,,,
18.933,-99.809,87,,,
19.058,-99.064,78,,,
19.06,-99.302,87,,,
18.907,-100.804,68,,,
18.905,-100.816,64,,,
19.399,-97.833,89,,,
19.398,-97.843,81,,,
20.557,-88.453,70,,,
19.541,-97.348,48,,,
19.55,-97.35,79,,,
19.365,-98.812,81,,,
19.363,-98.822,75,,,
19.026,-100.949,92,,,
19.449,-98.371,81,,,
19.291,-99.542,59,,,
19.289,-99.552,62,,,
19.298,-99.554,52,,,
19.04,-101.186,64,,,
18.887,-102.109,45,,,
19.424,-98.791,100,,,
19.422,-98.801,100,,,
19.421,-98.811,100,,,
19.433,-98.793,100,,,
19.431,-98.803,100,,,
19.441,-98.79,46,,,
19.44,-98.8,100,,,
19.438,-98.81,100,,,
20.713,-88.003,66,,,
19.447,-98.811,75,,,
19.446,-98.821,93,,,
19.444,-98.831,86,,,
19.443,-98.841,70,,,
19.456,-98.813,86,,,
19.455,-98.823,88,,,
19.256,-100.16,95,,,
19.254,-100.172,100,,,
19.378,-99.573,33,,,
19.44,-99.228,82,,,
19.375,-99.713,62,,,
19.741,-97.447,91,,,
19.739,-97.457,45,,,
19.751,-97.439,91,,,
19.749,-97.449,93,,,
19.73,-97.647,96,,,
18.869,-103.081,30,,,
20.81,-88.66,65,,,
20.807,-88.692,76,,,
19.604,-98.635,67,,,
19.766,-97.653,59,,,
20.821,-88.666,72,,,
20.818,-88.698,70,,,
19.783,-97.786,83,,,
19.792,-97.788,40,,,
19.646,-98.838,70,,,
19.598,-99.216,35,,,
20.962,-88.486,41,,,
19.828,-97.919,84,,,
20.978,-88.487,49,,,
20.975,-88.52,28,,,
19.912,-97.602,28,,,
20.974,-88.495,86,,,
20.971,-88.527,45,,,
20.883,-89.484,75,,,
20.966,-88.752,68,,,
20.9,-89.458,64,,,
20.898,-89.486,85,,,
19.876,-97.972,96,,,
19.875,-97.981,80,,,
19.888,-97.955,49,,,
19.887,-97.964,19,,,
19.701,-99.21,18,,,
19.7,-99.22,28,,,
19.897,-97.956,97,,,
19.896,-97.966,85,,,
19.275,-102.065,60,,,
19.94,-97.911,42,,,
19.308,-101.886,63,,,
19.276,-102.07,38,,,
19.232,-102.932,92,,,
19.229,-102.949,77,,,
19.228,-102.938,89,,,
20.051,-97.917,60,,,
19.974,-98.437,53,,,
19.239,-102.94,82,,,
19.983,-98.438,100,,,
19.982,-98.448,71,,,
19.836,-99.874,43,,,
19.608,-101.403,75,,,
19.521,-102.047,54,,,
19.519,-102.061,78,,,
19.379,-102.87,79,,,
19.376,-102.887,76,,,
19.845,-100.187,56,,,
20.271,-97.399,54,,,
19.967,-99.523,49,,,
21.455,-88.226,86,,,
21.446,-88.23,84,,,
21.462,-88.232,76,,,
19.941,-101.01,70,,,
19.762,-102.2,60,,,
19.768,-102.231,86,,,
19.765,-102.245,75,,,
19.862,-101.87,55,,,
20.182,-99.934,75,,,
19.867,-101.863,73,,,
20.219,-99.914,71,,,
20.217,-99.924,73,,,
20.227,-99.926,38,,,
20.173,-101.83,78,,,
20.373,-100.686,67,,,
19.942,-103.218,79,,,
20.184,-102.089,54,,,
20.167,-102.19,79,,,
20.935,-97.458,60,,,
20.254,-102.022,67,,,
20.252,-102.035,64,,,
20.559,-100.221,34,,,
20.587,-100.293,43,,,
20.631,-100.174,66,,,
20.541,-100.731,43,,,
20.586,-100.575,90,,,
20.584,-100.586,100,,,
20.613,-100.534,73,,,
20.611,-100.545,76,,,
20.474,-101.52,59,,,
20.611,-101.241,56,,,
20.494,-102.115,79,,,
20.492,-102.128,76,,,
20.5,-102.145,76,,,
20.525,-102.388,76,,,
20.817,-100.799,51,,,
20.815,-100.811,74,,,
20.33,-103.698,87,,,
20.498,-103.147,76,,,
20.434,-103.503,76,,,
20.431,-103.52,87,,,
20.446,-103.506,64,,,
20.442,-103.523,80,,,
20.894,-101.33,71,,,
20.891,-101.343,70,,,
21.27,-99.079,93,,,
21.269,-99.089,100,,,
20.723,-102.655,96,,,
20.549,-103.82,79,,,
21.275,-99.659,91,,,
21.273,-99.669,84,,,
20.734,-103.581,90,,,
20.704,-103.952,78,,,
20.711,-103.942,73,,,
20.724,-103.944,90,,,
20.894,-103.517,50,,,
20.965,-103.593,69,,,
20.999,-103.581,58,,,
21.696,-99.502,64,,,
20.911,-104.206,96,,,
20.908,-104.227,74,,,
21.803,-98.855,63,,,
21.326,-101.992,65,,,
21.413,-101.604,100,,,
21.411,-101.616,100,,,
21.425,-101.593,100,,,
21.423,-101.606,100,,,
21.421,-101.618,80,,,
21.793,-99.95,70,,,
21.879,-99.453,85,,,
21.529,-101.714,47,,,
21.542,-101.703,100,,,
21.54,-101.716,89,,,
21.556,-101.68,90,,,
21.554,-101.692,98,,,
21.568,-101.669,27,,,
21.566,-101.682,71,,,
21.565,-101.674,77,,,
21.563,-101.686,81,,,
22.011,-98.938,34,,,
22.01,-98.948,46,,,
21.538,-102.214,88,,,
21.536,-102.228,85,,,
22.113,-98.747,74,,,
21.81,-100.947,78,,,
21.82,-100.948,69,,,
21.794,-102.212,60,,,
21.83,-102.191,70,,,
22.295,-99.328,59,,,
21.742,-103.309,73,,,
21.74,-103.325,72,,,
22.395,-99.331,76,,,
21.741,-103.315,78,,,
22.525,-99.326,74,,,
22.522,-99.346,90,,,
22.52,-99.356,89,,,
22.531,-99.347,93,,,
22.529,-99.357,91,,,
22.145,-102.265,67,,,
21.885,-104.24,64,,,
22.129,-103.146,87,,,
22.126,-103.164,67,,,
22.14,-103.149,75,,,
22.14,-103.156,71,,,
22.874,-98.965,76,,,
21.867,-105.12,71,,,
22.887,-99.067,79,,,
21.864,-105.124,50,,,
22.89,-99.354,83,,,
22.888,-99.364,86,,,
23.08,-98.432,91,,,
23.079,-98.441,100,,,
23.084,-98.478,47,,,
